2, 61.45, 8.95, 0.46658
2.0244, 61.5, 8.95, 0.39856
2.0744, 60.95, 9, 0.44994
2.0899, 61, 9, 0.3934
2.1147, 61.05, 9, 0.35966
2.1337, 61.1, 9, 0.3359
2.1499, 61.15, 9, 0.31714
2.1638, 61.2, 9, 0.30264
2.1763, 61.25, 9, 0.2896
2.1877, 61.3, 9, 0.2787
2.1976, 61.35, 9, 0.26924
2.2072, 61.4, 9, 0.2605
2.2156, 61.45, 9, 0.25386
2.2236, 61.5, 9, 0.24656
2.2737, 60.9, 9.05, 0.2632
2.3193, 61.2, 9.05, 0.26495
2.3211, 61.25, 9.05, 0.25618
2.327, 61.3, 9.05, 0.24847
2.3322, 61.35, 9.05, 0.24219
2.3625, 60.6, 9.1, 0.23996
2.3699, 60.65, 9.1, 0.23462
2.3768, 60.7, 9.1, 0.23
2.3833, 60.75, 9.1, 0.22542
2.3895, 60.8, 9.1, 0.22082
2.3952, 60.85, 9.1, 0.21766
2.4009, 60.9, 9.1, 0.21312
2.4509, 61.5, 9.1, 0.38888
2.4673, 60.45, 9.15, 0.37928
2.5173, 59.85, 9.2, 0.39866
2.5193, 59.9, 9.2, 0.38684
2.5238, 61.15, 9.15, 0.37978
2.5254, 59.95, 9.2, 0.37586
2.5264, 61.2, 9.15, 0.36855
2.5292, 61.25, 9.15, 0.35803
2.5317, 61.3, 9.15, 0.34759
2.5342, 61.35, 9.15, 0.33789
2.5363, 61.4, 9.15, 0.3286
2.5387, 61.45, 9.15, 0.32003
2.5407, 61.5, 9.15, 0.31188
2.5908, 60.5, 9.2, 0.35645
2.5994, 60.85, 9.2, 0.34764
2.602, 60.9, 9.2, 0.33816
2.6046, 60.95, 9.2, 0.32946
2.6068, 61, 9.2, 0.32078
2.6089, 61.05, 9.2, 0.31284
2.611, 61.1, 9.2, 0.30498
2.6131, 61.15, 9.2, 0.29782
2.6152, 61.2, 9.2, 0.29068
2.6169, 61.25, 9.2, 0.28292
2.6186, 61.3, 9.2, 0.27658
2.6202, 61.35, 9.2, 0.27024
2.6219, 61.4, 9.2, 0.26396
2.6235, 61.45, 9.2, 0.25836
2.6247, 61.5, 9.2, 0.25212
2.6747, 60.5, 9.25, 0.28861
2.6867, 60.85, 9.25, 0.28586
2.6884, 60.9, 9.25, 0.27944
2.6919, 61, 9.25, 0.2674
2.6935, 61.05, 9.25, 0.26106
2.6949, 61.1, 9.25, 0.25616
2.6965, 61.15, 9.25, 0.25058
2.6977, 61.2, 9.25, 0.24502
2.6986, 61.25, 9.25, 0.23878
2.6998, 61.3, 9.25, 0.23396
2.701, 61.35, 9.25, 0.22986
2.7018, 61.4, 9.25, 0.22438
2.703, 61.45, 9.25, 0.21962
2.7037, 61.5, 9.25, 0.21556
2.7537, 60.4, 9.3, 0.2606
2.7555, 60.45, 9.3, 0.25459
2.7574, 60.5, 9.3, 0.24968
2.7685, 60.85, 9.3, 0.24842
2.7698, 60.9, 9.3, 0.24355
2.7707, 60.95, 9.3, 0.23763
2.772, 61, 9.3, 0.23277
2.7728, 61.05, 9.3, 0.22762
2.774, 61.1, 9.3, 0.22385
2.7748, 61.15, 9.3, 0.21872
2.7756, 61.2, 9.3, 0.21468
2.7761, 61.25, 9.3, 0.21029
2.7768, 61.3, 9.3, 0.20624
2.7776, 61.35, 9.3, 0.20221
2.7779, 61.4, 9.3, 0.19752
2.7782, 61.45, 9.3, 0.19353
2.7789, 61.5, 9.3, 0.19024
2.8289, 60.15, 9.35, 0.24433
2.8291, 60.2, 9.35, 0.23943
2.831, 60.25, 9.35, 0.23453
2.8328, 60.3, 9.35, 0.2293
2.8343, 60.35, 9.35, 0.22479
2.8357, 60.4, 9.35, 0.22068
2.8371, 60.45, 9.35, 0.21659
2.8385, 60.5, 9.35, 0.21213
2.846, 60.85, 9.35, 0.21204
2.8469, 60.9, 9.35, 0.20796
2.8473, 60.95, 9.35, 0.2039
2.8481, 61, 9.35, 0.20058
2.8485, 61.05, 9.35, 0.19584
2.8493, 61.1, 9.35, 0.19252
2.8496, 61.15, 9.35, 0.18852
2.85, 61.2, 9.35, 0.18522
2.8503, 61.25, 9.35, 0.18124
2.8506, 61.3, 9.35, 0.17728
2.8508, 61.4, 9.35, 0.1708
2.8509, 61.5, 9.35, 0.16434
2.9009, 61.45, 9.35, 0.16756
2.901, 59.9, 9.4, 0.23977
2.9021, 59.95, 9.4, 0.23485
2.9036, 60, 9.4, 0.23068
2.9051, 60.05, 9.4, 0.22543
2.9065, 60.1, 9.4, 0.22128
2.908, 60.15, 9.4, 0.2168
2.9094, 60.2, 9.4, 0.21305
2.9108, 60.25, 9.4, 0.20859
2.9118, 60.3, 9.4, 0.20415
2.9128, 60.35, 9.4, 0.20044
2.9141, 60.4, 9.4, 0.19639
2.915, 60.45, 9.4, 0.1927
2.916, 60.5, 9.4, 0.18939
2.9207, 61.5, 9.4, 0.1468
2.9707, 61.45, 9.4, 0.14962
2.9709, 61.4, 9.4, 0.15283
2.9711, 61.3, 9.4, 0.15923
2.9715, 61.25, 9.4, 0.16208
2.9716, 61.2, 9.4, 0.16566
2.9718, 59.6, 9.45, 0.23253
2.972, 59.65, 9.45, 0.22835
2.9739, 59.7, 9.45, 0.22343
2.9754, 59.75, 9.45, 0.21925
2.9766, 59.8, 9.45, 0.21546
2.9781, 59.85, 9.45, 0.2117
2.9795, 59.9, 9.45, 0.2072
2.9806, 59.95, 9.45, 0.20383
2.982, 60, 9.45, 0.199
2.983, 60.05, 9.45, 0.19636
2.984, 60.1, 9.45, 0.19229
